split_type,split_id,sample_id,accident_class,test_severity,nearest_train_severity,nearest_severity_gap
random,seed_20264957,LOCA_25,LOCA,25.0,24.0,1.0
random,seed_20264957,SLBIC_88,SLBIC,88.0,89.0,1.0
random,seed_20264957,SLBIC_68,SLBIC,68.0,67.0,1.0
random,seed_20264957,FLB_4,FLB,4.0,3.0,1.0
random,seed_20264957,LOCAC_11,LOCAC,11.0,9.0,2.0
random,seed_20264957,SGBTR_60,SGBTR,60.0,61.0,1.0
random,seed_20264957,SLBIC_62,SLBIC,62.0,64.0,2.0
random,seed_20264957,FLB_19,FLB,19.0,18.0,1.0
random,seed_20264957,SLBIC_78,SLBIC,78.0,77.0,1.0
random,seed_20264957,LOCAC_5,LOCAC,5.0,3.0,2.0
random,seed_20264957,LOCAC_36,LOCAC,36.0,35.0,1.0
random,seed_20264957,FLB_78,FLB,78.0,79.0,1.0
random,seed_20264957,SGBTR_94,SGBTR,94.0,95.0,1.0
random,seed_20264957,LOCA_67,LOCA,67.0,68.0,1.0
random,seed_20264957,FLB_32,FLB,32.0,31.0,1.0
random,seed_20264957,SGATR_67,SGATR,67.0,66.0,1.0
random,seed_20264957,SLBIC_57,SLBIC,57.0,58.0,1.0
random,seed_20264957,LOCAC_69,LOCAC,69.0,70.0,1.0
random,seed_20264957,SGBTR_64,SGBTR,64.0,65.0,1.0
random,seed_20264957,SLBIC_63,SLBIC,63.0,64.0,1.0
random,seed_20264957,RI_-1,RI,-1.0,-2.0,1.0
random,seed_20264957,LOCA_61,LOCA,61.0,60.0,1.0
random,seed_20264957,FLB_7,FLB,7.0,6.0,1.0
random,seed_20264957,FLB_54,FLB,54.0,55.0,1.0
random,seed_20264957,LOCAC_39,LOCAC,39.0,41.0,2.0
random,seed_20264957,LOCA_41,LOCA,41.0,40.0,1.0
random,seed_20264957,FLB_22,FLB,22.0,21.0,1.0
random,seed_20264957,SLBIC_85,SLBIC,85.0,86.0,1.0
random,seed_20264957,SGBTR_83,SGBTR,83.0,82.0,1.0
random,seed_20264957,FLB_28,FLB,28.0,29.0,1.0
random,seed_20264957,LR_93,LR,93.0,95.0,2.0
random,seed_20264957,FLB_33,FLB,33.0,31.0,2.0
random,seed_20264957,FLB_24,FLB,24.0,25.0,1.0
random,seed_20264957,SLBIC_75,SLBIC,75.0,76.0,1.0
random,seed_20264957,SGATR_78,SGATR,78.0,77.0,1.0
random,seed_20264957,RI_-27,RI,-27.0,-25.0,2.0
random,seed_20264957,FLB_8,FLB,8.0,6.0,2.0
random,seed_20264957,SGATR_83,SGATR,83.0,82.0,1.0
random,seed_20264957,SLBIC_43,SLBIC,43.0,42.0,1.0
random,seed_20264957,LOCAC_73,LOCAC,73.0,74.0,1.0
random,seed_20264957,LOCA_20,LOCA,20.0,21.0,1.0
random,seed_20264957,FLB_12,FLB,12.0,11.0,1.0
random,seed_20264957,LOCAC_6,LOCAC,6.0,7.0,1.0
random,seed_20264957,SLBIC_25,SLBIC,25.0,27.0,2.0
random,seed_20264957,FLB_84,FLB,84.0,83.0,1.0
random,seed_20264957,SLBIC_16,SLBIC,16.0,17.0,1.0
random,seed_20264957,LOCA_23,LOCA,23.0,24.0,1.0
random,seed_20264957,SGATR_84,SGATR,84.0,86.0,2.0
random,seed_20264957,SGATR_94,SGATR,94.0,95.0,1.0
random,seed_20264957,FLB_76,FLB,76.0,75.0,1.0
random,seed_20264957,SLBIC_59,SLBIC,59.0,58.0,1.0
random,seed_20264957,LOCA_62,LOCA,62.0,63.0,1.0
random,seed_20264957,RI_-15,RI,-15.0,-14.0,1.0
random,seed_20264957,LOCA_28,LOCA,28.0,29.0,1.0
random,seed_20264957,SGBTR_81,SGBTR,81.0,82.0,1.0
random,seed_20264957,SGBTR_80,SGBTR,80.0,79.0,1.0
random,seed_20264957,SLBIC_61,SLBIC,61.0,64.0,3.0
random,seed_20264957,RI_-32,RI,-32.0,-33.0,1.0
random,seed_20264957,RI_-20,RI,-20.0,-19.0,1.0
random,seed_20264957,SGBTR_88,SGBTR,88.0,87.0,1.0
random,seed_20264957,SGATR_72,SGATR,72.0,71.0,1.0
random,seed_20264957,SGATR_85,SGATR,85.0,86.0,1.0
random,seed_20264957,LOCA_19,LOCA,19.0,18.0,1.0
random,seed_20264957,SGBTR_77,SGBTR,77.0,76.0,1.0
random,seed_20264957,RI_-18,RI,-18.0,-19.0,1.0
random,seed_20264957,SGATR_79,SGATR,79.0,80.0,1.0
random,seed_20264957,LOCAC_22,LOCAC,22.0,21.0,1.0
random,seed_20264957,LR_81,LR,81.0,82.0,1.0
random,seed_20264957,LOCA_44,LOCA,44.0,46.0,2.0
random,seed_20264957,LOCA_27,LOCA,27.0,26.0,1.0
random,seed_20264957,LOCAC_14,LOCAC,14.0,15.0,1.0
random,seed_20264957,LR_73,LR,73.0,72.0,1.0
random,seed_20264957,SLBIC_65,SLBIC,65.0,64.0,1.0
random,seed_20264957,SLBIC_26,SLBIC,26.0,27.0,1.0
random,seed_20264957,SGBTR_57,SGBTR,57.0,59.0,2.0
random,seed_20264957,SLBIC_94,SLBIC,94.0,95.0,1.0
random,seed_20264957,LOCAC_37,LOCAC,37.0,35.0,2.0
random,seed_20264957,LOCAC_60,LOCAC,60.0,61.0,1.0
random,seed_20264957,FLB_46,FLB,46.0,45.0,1.0
random,seed_20264957,LOCA_73,LOCA,73.0,72.0,1.0
random,seed_20264957,LR_87,LR,87.0,88.0,1.0
random,seed_20264957,LOCA_22,LOCA,22.0,21.0,1.0
random,seed_20264957,LOCA_12,LOCA,12.0,11.0,1.0
random,seed_20264957,SGBTR_58,SGBTR,58.0,59.0,1.0
random,seed_20264957,SGBTR_66,SGBTR,66.0,65.0,1.0
random,seed_20264957,LOCAC_4,LOCAC,4.0,3.0,1.0
random,seed_20265966,RI_-23,RI,-23.0,-22.0,1.0
random,seed_20265966,SLBIC_33,SLBIC,33.0,34.0,1.0
random,seed_20265966,SGATR_84,SGATR,84.0,82.0,2.0
random,seed_20265966,SLBIC_17,SLBIC,17.0,16.0,1.0
random,seed_20265966,SGBTR_85,SGBTR,85.0,86.0,1.0
random,seed_20265966,SGATR_90,SGATR,90.0,89.0,1.0
random,seed_20265966,FLB_48,FLB,48.0,46.0,2.0
random,seed_20265966,LOCAC_42,LOCAC,42.0,41.0,1.0
random,seed_20265966,LOCAC_64,LOCAC,64.0,63.0,1.0
random,seed_20265966,SGATR_83,SGATR,83.0,82.0,1.0
random,seed_20265966,LOCA_71,LOCA,71.0,74.0,3.0
random,seed_20265966,LOCA_42,LOCA,42.0,41.0,1.0
random,seed_20265966,LOCAC_36,LOCAC,36.0,37.0,1.0
random,seed_20265966,SLBIC_36,SLBIC,36.0,35.0,1.0
random,seed_20265966,RI_-34,RI,-34.0,-31.0,3.0
random,seed_20265966,LOCA_21,LOCA,21.0,22.0,1.0
random,seed_20265966,SGBTR_70,SGBTR,70.0,69.0,1.0
random,seed_20265966,FLB_49,FLB,49.0,46.0,3.0
random,seed_20265966,SGATR_79,SGATR,79.0,78.0,1.0
random,seed_20265966,FLB_100,FLB,100.0,99.0,1.0
random,seed_20265966,LOCAC_71,LOCAC,71.0,72.0,1.0
random,seed_20265966,LR_93,LR,93.0,94.0,1.0
random,seed_20265966,LOCAC_24,LOCAC,24.0,22.0,2.0
random,seed_20265966,FLB_27,FLB,27.0,26.0,1.0
random,seed_20265966,LR_89,LR,89.0,90.0,1.0
random,seed_20265966,LOCA_28,LOCA,28.0,26.0,2.0
random,seed_20265966,SLBIC_59,SLBIC,59.0,58.0,1.0
random,seed_20265966,FLB_77,FLB,77.0,76.0,1.0
random,seed_20265966,FLB_89,FLB,89.0,90.0,1.0
random,seed_20265966,SGBTR_64,SGBTR,64.0,63.0,1.0
random,seed_20265966,SGBTR_93,SGBTR,93.0,94.0,1.0
random,seed_20265966,LR_72,LR,72.0,74.0,2.0
random,seed_20265966,FLB_72,FLB,72.0,73.0,1.0
random,seed_20265966,LOCAC_59,LOCAC,59.0,60.0,1.0
random,seed_20265966,FLB_98,FLB,98.0,99.0,1.0
random,seed_20265966,SLBIC_98,SLBIC,98.0,99.0,1.0
random,seed_20265966,FLB_10,FLB,10.0,11.0,1.0
random,seed_20265966,RI_-13,RI,-13.0,-14.0,1.0
random,seed_20265966,SGBTR_81,SGBTR,81.0,82.0,1.0
random,seed_20265966,FLB_63,FLB,63.0,61.0,2.0
random,seed_20265966,FLB_87,FLB,87.0,88.0,1.0
random,seed_20265966,LOCA_73,LOCA,73.0,74.0,1.0
random,seed_20265966,LOCAC_5,LOCAC,5.0,6.0,1.0
random,seed_20265966,SLBIC_14,SLBIC,14.0,16.0,2.0
random,seed_20265966,RI_-26,RI,-26.0,-27.0,1.0
random,seed_20265966,LOCAC_25,LOCAC,25.0,22.0,3.0
random,seed_20265966,LOCA_16,LOCA,16.0,17.0,1.0
random,seed_20265966,LOCA_39,LOCA,39.0,38.0,1.0
random,seed_20265966,SGATR_87,SGATR,87.0,89.0,2.0
random,seed_20265966,SLBIC_18,SLBIC,18.0,19.0,1.0
random,seed_20265966,LOCAC_3,LOCAC,3.0,2.0,1.0
random,seed_20265966,LOCAC_46,LOCAC,46.0,47.0,1.0
random,seed_20265966,LOCAC_27,LOCAC,27.0,28.0,1.0
random,seed_20265966,LOCA_9,LOCA,9.0,8.0,1.0
random,seed_20265966,SGATR_99,SGATR,99.0,97.0,2.0
random,seed_20265966,SLBIC_38,SLBIC,38.0,39.0,1.0
random,seed_20265966,LOCA_23,LOCA,23.0,22.0,1.0
random,seed_20265966,SLBIC_78,SLBIC,78.0,79.0,1.0
random,seed_20265966,LR_82,LR,82.0,83.0,1.0
random,seed_20265966,LOCAC_76,LOCAC,76.0,77.0,1.0
random,seed_20265966,SLBIC_37,SLBIC,37.0,39.0,2.0
random,seed_20265966,RI_-32,RI,-32.0,-31.0,1.0
random,seed_20265966,LOCA_40,LOCA,40.0,41.0,1.0
random,seed_20265966,SLBIC_52,SLBIC,52.0,51.0,1.0
random,seed_20265966,LOCAC_53,LOCAC,53.0,54.0,1.0
random,seed_20265966,SGATR_86,SGATR,86.0,89.0,3.0
random,seed_20265966,SGATR_85,SGATR,85.0,82.0,3.0
random,seed_20265966,SLBIC_65,SLBIC,65.0,66.0,1.0
random,seed_20265966,RI_-33,RI,-33.0,-31.0,2.0
random,seed_20265966,SLBIC_86,SLBIC,86.0,85.0,1.0
random,seed_20265966,LR_70,LR,70.0,74.0,4.0
random,seed_20265966,SGBTR_80,SGBTR,80.0,82.0,2.0
random,seed_20265966,SGBTR_73,SGBTR,73.0,74.0,1.0
random,seed_20265966,LOCAC_15,LOCAC,15.0,16.0,1.0
random,seed_20265966,FLB_35,FLB,35.0,34.0,1.0
random,seed_20265966,SGBTR_105,SGBTR,105.0,104.0,1.0
random,seed_20265966,LOCAC_45,LOCAC,45.0,44.0,1.0
random,seed_20265966,SGATR_98,SGATR,98.0,97.0,1.0
random,seed_20265966,SGBTR_84,SGBTR,84.0,83.0,1.0
random,seed_20265966,SGBTR_62,SGBTR,62.0,63.0,1.0
random,seed_20265966,LOCAC_11,LOCAC,11.0,10.0,1.0
random,seed_20265966,FLB_70,FLB,70.0,69.0,1.0
random,seed_20265966,FLB_59,FLB,59.0,60.0,1.0
random,seed_20265966,FLB_66,FLB,66.0,65.0,1.0
random,seed_20265966,SGBTR_92,SGBTR,92.0,91.0,1.0
random,seed_20265966,LOCA_53,LOCA,53.0,52.0,1.0
random,seed_20265966,LOCA_64,LOCA,64.0,63.0,1.0
random,seed_20265966,LOCA_65,LOCA,65.0,66.0,1.0
random,seed_20265966,FLB_85,FLB,85.0,84.0,1.0
random,seed_20265966,SLBIC_71,SLBIC,71.0,72.0,1.0
random,seed_20265966,SLBIC_81,SLBIC,81.0,82.0,1.0
random,seed_20265966,FLB_50,FLB,50.0,52.0,2.0
random,seed_20265966,LOCA_60,LOCA,60.0,61.0,1.0
random,seed_20265966,SLBIC_61,SLBIC,61.0,62.0,1.0
random,seed_20265966,RI_-30,RI,-30.0,-29.0,1.0
random,seed_20265966,LOCA_5,LOCA,5.0,6.0,1.0
random,seed_20265966,SLBIC_27,SLBIC,27.0,26.0,1.0
random,seed_20265966,FLB_7,FLB,7.0,9.0,2.0
random,seed_20265966,FLB_8,FLB,8.0,9.0,1.0
random,seed_20265966,FLB_64,FLB,64.0,65.0,1.0
random,seed_20265966,SLBIC_21,SLBIC,21.0,20.0,1.0
random,seed_20266975,LOCAC_35,LOCAC,35.0,36.0,1.0
random,seed_20266975,SGBTR_58,SGBTR,58.0,57.0,1.0
random,seed_20266975,FLB_4,FLB,4.0,5.0,1.0
random,seed_20266975,SLBIC_48,SLBIC,48.0,49.0,1.0
random,seed_20266975,LOCAC_17,LOCAC,17.0,16.0,1.0
random,seed_20266975,SLBIC_56,SLBIC,56.0,57.0,1.0
random,seed_20266975,LOCA_17,LOCA,17.0,18.0,1.0
random,seed_20266975,SLBIC_66,SLBIC,66.0,68.0,2.0
random,seed_20266975,LOCA_4,LOCA,4.0,5.0,1.0
random,seed_20266975,LOCAC_27,LOCAC,27.0,26.0,1.0
random,seed_20266975,SGATR_91,SGATR,91.0,90.0,1.0
random,seed_20266975,FLB_20,FLB,20.0,21.0,1.0
random,seed_20266975,SLBIC_77,SLBIC,77.0,78.0,1.0
random,seed_20266975,SLBIC_18,SLBIC,18.0,19.0,1.0
random,seed_20266975,LOCAC_31,LOCAC,31.0,30.0,1.0
random,seed_20266975,LOCAC_71,LOCAC,71.0,70.0,1.0
random,seed_20266975,LOCA_54,LOCA,54.0,53.0,1.0
random,seed_20266975,RI_-27,RI,-27.0,-28.0,1.0
random,seed_20266975,SGATR_86,SGATR,86.0,88.0,2.0
random,seed_20266975,LOCA_68,LOCA,68.0,69.0,1.0
random,seed_20266975,LOCAC_75,LOCAC,75.0,76.0,1.0
random,seed_20266975,FLB_86,FLB,86.0,84.0,2.0
random,seed_20266975,SLBIC_34,SLBIC,34.0,32.0,2.0
random,seed_20266975,RI_-26,RI,-26.0,-28.0,2.0
random,seed_20266975,SLBIC_59,SLBIC,59.0,58.0,1.0
random,seed_20266975,FLB_26,FLB,26.0,27.0,1.0
random,seed_20266975,LOCAC_45,LOCAC,45.0,46.0,1.0
random,seed_20266975,FLB_57,FLB,57.0,56.0,1.0
random,seed_20266975,LOCAC_60,LOCAC,60.0,61.0,1.0
random,seed_20266975,LOCA_65,LOCA,65.0,64.0,1.0
random,seed_20266975,SGATR_67,SGATR,67.0,66.0,1.0
random,seed_20266975,LOCA_3,LOCA,3.0,2.0,1.0
random,seed_20266975,SGBTR_92,SGBTR,92.0,91.0,1.0
random,seed_20266975,RI_-17,RI,-17.0,-16.0,1.0
random,seed_20266975,FLB_82,FLB,82.0,81.0,1.0
random,seed_20266975,SGBTR_104,SGBTR,104.0,105.0,1.0
random,seed_20266975,FLB_44,FLB,44.0,43.0,1.0
random,seed_20266975,LOCA_76,LOCA,76.0,75.0,1.0
random,seed_20266975,LR_88,LR,88.0,87.0,1.0
random,seed_20266975,SLBIC_20,SLBIC,20.0,19.0,1.0
random,seed_20266975,SLBIC_64,SLBIC,64.0,63.0,1.0
random,seed_20266975,SLBIC_44,SLBIC,44.0,43.0,1.0
random,seed_20266975,SGBTR_110,SGBTR,110.0,109.0,1.0
random,seed_20266975,LOCA_41,LOCA,41.0,39.0,2.0
random,seed_20266975,FLB_15,FLB,15.0,14.0,1.0
random,seed_20266975,SGATR_62,SGATR,62.0,63.0,1.0
random,seed_20266975,SGATR_69,SGATR,69.0,70.0,1.0
random,seed_20266975,FLB_92,FLB,92.0,91.0,1.0
random,seed_20266975,SLBIC_99,SLBIC,99.0,98.0,1.0
random,seed_20266975,SLBIC_75,SLBIC,75.0,74.0,1.0
random,seed_20266975,SLBIC_23,SLBIC,23.0,22.0,1.0
random,seed_20266975,SGATR_68,SGATR,68.0,70.0,2.0
random,seed_20266975,FLB_35,FLB,35.0,36.0,1.0
random,seed_20266975,RI_-34,RI,-34.0,-33.0,1.0
random,seed_20266975,SGATR_80,SGATR,80.0,81.0,1.0
random,seed_20266975,FLB_49,FLB,49.0,50.0,1.0
random,seed_20266975,LOCAC_44,LOCAC,44.0,43.0,1.0
random,seed_20266975,SLBIC_33,SLBIC,33.0,32.0,1.0
random,seed_20266975,LOCAC_20,LOCAC,20.0,18.0,2.0
random,seed_20266975,FLB_80,FLB,80.0,81.0,1.0
random,seed_20266975,SLBIC_26,SLBIC,26.0,27.0,1.0
random,seed_20266975,RI_-14,RI,-14.0,-15.0,1.0
random,seed_20266975,RI_-8,RI,-8.0,-6.0,2.0
random,seed_20266975,LOCA_56,LOCA,56.0,58.0,2.0
random,seed_20266975,SGBTR_87,SGBTR,87.0,89.0,2.0
random,seed_20266975,LOCA_52,LOCA,52.0,53.0,1.0
random,seed_20266975,SLBIC_29,SLBIC,29.0,28.0,1.0
random,seed_20266975,LOCAC_41,LOCAC,41.0,42.0,1.0
random,seed_20266975,FLB_32,FLB,32.0,30.0,2.0
random,seed_20266975,SGBTR_108,SGBTR,108.0,109.0,1.0
random,seed_20266975,FLB_98,FLB,98.0,97.0,1.0
random,seed_20266975,FLB_6,FLB,6.0,5.0,1.0
random,seed_20266975,FLB_33,FLB,33.0,36.0,3.0
random,seed_20266975,LOCA_13,LOCA,13.0,14.0,1.0
random,seed_20266975,LR_85,LR,85.0,86.0,1.0
random,seed_20266975,SGBTR_86,SGBTR,86.0,83.0,3.0
random,seed_20266975,SGATR_58,SGATR,58.0,59.0,1.0
random,seed_20266975,RI_-9,RI,-9.0,-10.0,1.0
random,seed_20266975,SGATR_72,SGATR,72.0,73.0,1.0
random,seed_20266975,SLBIC_72,SLBIC,72.0,73.0,1.0
random,seed_20266975,LOCAC_73,LOCAC,73.0,74.0,1.0
random,seed_20266975,SGBTR_84,SGBTR,84.0,83.0,1.0
random,seed_20266975,FLB_51,FLB,51.0,50.0,1.0
random,seed_20266975,LOCAC_68,LOCAC,68.0,69.0,1.0
random,seed_20266975,SGBTR_59,SGBTR,59.0,60.0,1.0
random,seed_20266975,LOCA_67,LOCA,67.0,69.0,2.0
random,seed_20266975,SLBIC_90,SLBIC,90.0,91.0,1.0
random,seed_20266975,LOCA_38,LOCA,38.0,37.0,1.0
random,seed_20266975,LOCA_31,LOCA,31.0,32.0,1.0
random,seed_20266975,LR_74,LR,74.0,72.0,2.0
random,seed_20266975,LOCAC_1,LOCAC,1.0,2.0,1.0
random,seed_20266975,SGBTR_68,SGBTR,68.0,67.0,1.0
random,seed_20266975,LR_84,LR,84.0,86.0,2.0
random,seed_20266975,FLB_72,FLB,72.0,71.0,1.0
random,seed_20266975,LOCAC_38,LOCAC,38.0,37.0,1.0
random,seed_20266975,FLB_9,FLB,9.0,8.0,1.0
random,seed_20266975,FLB_45,FLB,45.0,46.0,1.0
random,seed_20266975,SGBTR_61,SGBTR,61.0,60.0,1.0
random,seed_20266975,LOCA_62,LOCA,62.0,63.0,1.0
random,seed_20266975,LOCAC_56,LOCAC,56.0,55.0,1.0
random,seed_20266975,LR_99,LR,99.0,98.0,1.0
random,seed_20267984,SLBIC_18,SLBIC,18.0,19.0,1.0
random,seed_20267984,SGBTR_90,SGBTR,90.0,91.0,1.0
random,seed_20267984,SLBIC_59,SLBIC,59.0,58.0,1.0
random,seed_20267984,SLBIC_26,SLBIC,26.0,25.0,1.0
random,seed_20267984,FLB_35,FLB,35.0,34.0,1.0
random,seed_20267984,FLB_52,FLB,52.0,53.0,1.0
random,seed_20267984,LOCAC_77,LOCAC,77.0,75.0,2.0
random,seed_20267984,SGBTR_100,SGBTR,100.0,99.0,1.0
random,seed_20267984,LOCAC_69,LOCAC,69.0,70.0,1.0
random,seed_20267984,FLB_65,FLB,65.0,66.0,1.0
random,seed_20267984,FLB_93,FLB,93.0,94.0,1.0
random,seed_20267984,FLB_80,FLB,80.0,81.0,1.0
random,seed_20267984,LOCAC_17,LOCAC,17.0,16.0,1.0
random,seed_20267984,SGBTR_78,SGBTR,78.0,76.0,2.0
random,seed_20267984,FLB_18,FLB,18.0,17.0,1.0
random,seed_20267984,LOCAC_9,LOCAC,9.0,10.0,1.0
random,seed_20267984,RI_-32,RI,-32.0,-30.0,2.0
random,seed_20267984,SGATR_97,SGATR,97.0,98.0,1.0
random,seed_20267984,LR_82,LR,82.0,83.0,1.0
random,seed_20267984,LOCAC_49,LOCAC,49.0,50.0,1.0
random,seed_20267984,LOCA_28,LOCA,28.0,27.0,1.0
random,seed_20267984,SGATR_93,SGATR,93.0,91.0,2.0
random,seed_20267984,RI_-4,RI,-4.0,-5.0,1.0
random,seed_20267984,FLB_19,FLB,19.0,20.0,1.0
random,seed_20267984,FLB_85,FLB,85.0,84.0,1.0
random,seed_20267984,LR_99,LR,99.0,98.0,1.0
random,seed_20267984,FLB_74,FLB,74.0,73.0,1.0
random,seed_20267984,SGATR_76,SGATR,76.0,77.0,1.0
random,seed_20267984,LOCAC_22,LOCAC,22.0,21.0,1.0
random,seed_20267984,RI_-18,RI,-18.0,-16.0,2.0
random,seed_20267984,LOCAC_73,LOCAC,73.0,72.0,1.0
random,seed_20267984,SLBIC_87,SLBIC,87.0,88.0,1.0
random,seed_20267984,SLBIC_39,SLBIC,39.0,40.0,1.0
random,seed_20267984,FLB_56,FLB,56.0,55.0,1.0
random,seed_20267984,SGATR_87,SGATR,87.0,88.0,1.0
random,seed_20267984,SGBTR_62,SGBTR,62.0,63.0,1.0
random,seed_20267984,FLB_50,FLB,50.0,49.0,1.0
random,seed_20267984,LOCAC_63,LOCAC,63.0,62.0,1.0
random,seed_20267984,LR_70,LR,70.0,71.0,1.0
random,seed_20267984,LOCA_48,LOCA,48.0,49.0,1.0
random,seed_20267984,LOCA_54,LOCA,54.0,55.0,1.0
random,seed_20267984,SLBIC_72,SLBIC,72.0,71.0,1.0
random,seed_20267984,SGBTR_98,SGBTR,98.0,99.0,1.0
random,seed_20267984,SLBIC_82,SLBIC,82.0,81.0,1.0
random,seed_20267984,RI_-17,RI,-17.0,-16.0,1.0
random,seed_20267984,LOCA_71,LOCA,71.0,72.0,1.0
random,seed_20267984,SGBTR_101,SGBTR,101.0,102.0,1.0
random,seed_20267984,RI_-7,RI,-7.0,-8.0,1.0
random,seed_20267984,LOCA_46,LOCA,46.0,47.0,1.0
random,seed_20267984,LR_76,LR,76.0,78.0,2.0
random,seed_20267984,SGBTR_110,SGBTR,110.0,109.0,1.0
random,seed_20267984,SGBTR_73,SGBTR,73.0,72.0,1.0
random,seed_20267984,LOCA_31,LOCA,31.0,32.0,1.0
random,seed_20267984,LOCA_45,LOCA,45.0,44.0,1.0
random,seed_20267984,SLBIC_45,SLBIC,45.0,46.0,1.0
random,seed_20267984,SLBIC_41,SLBIC,41.0,40.0,1.0
random,seed_20267984,SGBTR_105,SGBTR,105.0,108.0,3.0
random,seed_20267984,SGATR_79,SGATR,79.0,78.0,1.0
random,seed_20267984,LOCA_52,LOCA,52.0,53.0,1.0
random,seed_20267984,FLB_14,FLB,14.0,13.0,1.0
random,seed_20267984,SGBTR_103,SGBTR,103.0,102.0,1.0
random,seed_20267984,SLBIC_69,SLBIC,69.0,71.0,2.0
random,seed_20267984,FLB_3,FLB,3.0,4.0,1.0
random,seed_20267984,FLB_59,FLB,59.0,60.0,1.0
random,seed_20267984,LOCAC_76,LOCAC,76.0,75.0,1.0
random,seed_20267984,SLBIC_75,SLBIC,75.0,76.0,1.0
random,seed_20267984,LOCA_4,LOCA,4.0,5.0,1.0
random,seed_20267984,LOCAC_71,LOCAC,71.0,72.0,1.0
random,seed_20267984,LOCA_21,LOCA,21.0,20.0,1.0
random,seed_20267984,SLBIC_79,SLBIC,79.0,80.0,1.0
random,seed_20267984,SGBTR_64,SGBTR,64.0,63.0,1.0
random,seed_20267984,SLBIC_57,SLBIC,57.0,58.0,1.0
random,seed_20267984,LOCAC_53,LOCAC,53.0,54.0,1.0
random,seed_20267984,SLBIC_17,SLBIC,17.0,19.0,2.0
random,seed_20267984,LOCA_12,LOCA,12.0,11.0,1.0
random,seed_20267984,LOCA_57,LOCA,57.0,58.0,1.0
random,seed_20267984,LOCAC_44,LOCAC,44.0,45.0,1.0
random,seed_20267984,FLB_31,FLB,31.0,32.0,1.0
random,seed_20267984,SLBIC_99,SLBIC,99.0,100.0,1.0
random,seed_20267984,LOCA_67,LOCA,67.0,69.0,2.0
random,seed_20267984,SLBIC_30,SLBIC,30.0,29.0,1.0
random,seed_20267984,SGATR_61,SGATR,61.0,63.0,2.0
random,seed_20267984,LR_77,LR,77.0,78.0,1.0
random,seed_20267984,LOCA_7,LOCA,7.0,9.0,2.0
random,seed_20267984,SGATR_74,SGATR,74.0,73.0,1.0
random,seed_20267984,RI_-19,RI,-19.0,-21.0,2.0
random,seed_20267984,LOCA_41,LOCA,41.0,42.0,1.0
random,seed_20267984,SLBIC_63,SLBIC,63.0,64.0,1.0
random,seed_20267984,SGATR_72,SGATR,72.0,73.0,1.0
random,seed_20267984,LOCAC_8,LOCAC,8.0,7.0,1.0
random,seed_20267984,LOCAC_37,LOCAC,37.0,38.0,1.0
random,seed_20267984,LOCAC_42,LOCAC,42.0,41.0,1.0
random,seed_20267984,FLB_39,FLB,39.0,38.0,1.0
random,seed_20267984,SLBIC_78,SLBIC,78.0,77.0,1.0
random,seed_20267984,FLB_5,FLB,5.0,6.0,1.0
random,seed_20267984,FLB_33,FLB,33.0,34.0,1.0
random,seed_20267984,FLB_16,FLB,16.0,15.0,1.0
random,seed_20267984,SGATR_90,SGATR,90.0,89.0,1.0
random,seed_20267984,LOCAC_28,LOCAC,28.0,27.0,1.0
random,seed_20267984,FLB_99,FLB,99.0,100.0,1.0
random,seed_20267984,RI_-31,RI,-31.0,-30.0,1.0
random,seed_20268993,RI_-13,RI,-13.0,-14.0,1.0
random,seed_20268993,LOCA_26,LOCA,26.0,27.0,1.0
random,seed_20268993,FLB_38,FLB,38.0,39.0,1.0
random,seed_20268993,FLB_7,FLB,7.0,5.0,2.0
random,seed_20268993,SLBIC_24,SLBIC,24.0,25.0,1.0
random,seed_20268993,SLBIC_50,SLBIC,50.0,49.0,1.0
random,seed_20268993,LOCAC_54,LOCAC,54.0,53.0,1.0
random,seed_20268993,SLBIC_26,SLBIC,26.0,25.0,1.0
random,seed_20268993,SGBTR_69,SGBTR,69.0,70.0,1.0
random,seed_20268993,RI_-26,RI,-26.0,-25.0,1.0
random,seed_20268993,LOCAC_55,LOCAC,55.0,56.0,1.0
random,seed_20268993,LOCAC_1,LOCAC,1.0,2.0,1.0
random,seed_20268993,SLBIC_28,SLBIC,28.0,29.0,1.0
random,seed_20268993,LOCA_57,LOCA,57.0,59.0,2.0
random,seed_20268993,LOCAC_50,LOCAC,50.0,51.0,1.0
random,seed_20268993,SLBIC_74,SLBIC,74.0,75.0,1.0
random,seed_20268993,LR_93,LR,93.0,94.0,1.0
random,seed_20268993,FLB_48,FLB,48.0,49.0,1.0
random,seed_20268993,SGATR_87,SGATR,87.0,88.0,1.0
random,seed_20268993,LR_90,LR,90.0,89.0,1.0
random,seed_20268993,LOCAC_28,LOCAC,28.0,29.0,1.0
random,seed_20268993,FLB_4,FLB,4.0,5.0,1.0
random,seed_20268993,FLB_27,FLB,27.0,28.0,1.0
random,seed_20268993,SGATR_92,SGATR,92.0,93.0,1.0
random,seed_20268993,SLBIC_41,SLBIC,41.0,42.0,1.0
random,seed_20268993,LOCA_44,LOCA,44.0,42.0,2.0
random,seed_20268993,SGATR_58,SGATR,58.0,61.0,3.0
random,seed_20268993,SGATR_97,SGATR,97.0,98.0,1.0
random,seed_20268993,SGBTR_82,SGBTR,82.0,83.0,1.0
random,seed_20268993,SGATR_91,SGATR,91.0,90.0,1.0
